Location,field_lat_long
Frazee LINK Site,46.730298|-95.6990439
Gonvick LINK Site,47.7362097|-95.5118104
Hendrum LINK Site,47.2645759|-96.8104093
Lake Park LINK Site,46.8859873|-96.0930933
Frazee LINK Site,46.730298|-95.6990439
Hendrum LINK Site,47.2645759|-96.8104093
Lake Park City Center,46.8868613|-96.0947853
Rothsay Community Center,46.4742879|-96.2835587
Frazee LINK Site,46.730298|-95.6990439
Gonvick LINK Site,47.7362097|-95.5118104
Lake Park City Center,46.8868613|-96.0947853
Gonvick LINK Site,47.7362097|-95.5118104
Mahnomen High School,47.3161505|-95.970371
Ulen-Hitterdal School,47.0796872|-96.2613931
Fosston Community and Arts Center Theater,47.5782193|-95.7461393
Rothsay Community Center,46.4742879|-96.2835587
Detroit Lakes Ecumen Senior Living,46.8051571|-95.8343511
Cormorant LINK Site,46.7313107|-96.0682362
Hendrum LINK Site,47.2645759|-96.8104093
Halstad Living Center,47.3536744|-96.8198139
Lake Park City Center,46.8868613|-96.0947853
Twin Valley Living Center,47.2645713|-96.2640323
Halstad Living Center,47.3536744|-96.8198139
Shelly Living Center,47.45897|-96.822893
Detroit Lakes Middle School,46.8222913|-95.835211
Holy Rosary Catholic Church,46.8145755|-95.8462402
History Holmes Theater,46.8178017|-95.8505646
St. Michael's Elementary School,47.3108333|-95.97
Fosston Theatre,47.5761644|-95.7522177
Bagley High School,47.5345417|-95.3970345
Cormorant LINK Site,46.7313107|-96.0682362
Frazee LINK Site,46.730298|-95.6990439
Gonvick LINK Site,47.7362097|-95.5118104
Halstad LINK Site,47.3827325|-96.8251316
Hendrum LINK Site,47.2645759|-96.8104093
Lake Park LINK Site,46.8859873|-96.0930933
Rothsay LINK Site,46.4737784|-96.2825583
Twin Valley LINK Site,47.2627064|-96.2639724
Ulen LINK Site,47.079174|-96.2594359
Moorhead Center Mall,46.8756342|-96.771663
Twin Valley LINK Site,47.2627064|-96.2639724
Location,field_lat_long
BAYPORT PUBLIC LIBRARY,45.021376|-92.781020
GRAND MARAIS PUBLIC LIBRARY,47.750667|-90.335908
SILVER BAY PUBLIC LIBRARY,47.295083|-91.274179
TWO HARBORS PUBLIC LIBRARY,47.021978|-91.670950
AURORA PUBLIC LIBRARY,47.529056|-92.237220
BABBITT PUBLIC LIBRARY,47.706949|-91.939712
BOVEY PUBLIC LIBRARY,47.295448|-93.416305
BUHL PUBLIC LIBRARY,47.495639|-92.776636
CARLTON AREA PUBLIC LIBRARY,46.664097|-92.426380
CHISHOLM PUBLIC LIBRARY,47.489338|-92.883977
CLOQUET PUBLIC LIBRARY,46.717419|-92.448950
COLERAINE PUBLIC LIBRARY,47.286988|-93.424019
COOK PUBLIC LIBRARY,47.852374|-92.688970
ELY PUBLIC LIBRARY,47.902020|-91.865361
EVELETH PUBLIC LIBRARY,47.462563|-92.536116
GILBERT PUBLIC LIBRARY,47.487449|-92.466233
GRAND RAPIDS AREA LIBRARY,47.233742|-93.526105
HIBBING PUBLIC LIBRARY,47.427184|-92.936458
HOYT LAKES PUBLIC LIBRARY,47.519231|-92.146392
KEEWATIN PUBLIC LIBRARY,47.398814|-93.076055
KINNEY PUBLIC LIBRARY,47.514141|-92.729358
MARBLE PUBLIC LIBRARY,47.320580|-93.298591
MOOSE LAKE PUBLIC LIBRARY,46.453072|-92.761738
MOUNTAIN IRON PUBLIC LIBRARY,47.531790|-92.622102
VIRGINIA PUBLIC LIBRARY,47.522030|-92.538722
DULUTH-MAIN,46.781859|-92.104714
MOUNT ROYAL BRANCH LIBRARY,46.821188|-92.074620
WEST DULUTH BRANCH LIBRARY,46.737648|-92.170908
BAUDETTE  PUBLIC LIBRARY,48.711562|-94.601536
INTERNATIONAL FALLS PUBLIC LIBRARY,48.601769|-93.409862
CALUMET PUBLIC LIBRARY,47.323760|-93.277070
CAMBRIDGE PUBLIC LIBRARY,45.570683|-93.226574
CHISAGO LAKES AREA LIBRARY,45.383687|-92.868317
HINCKLEY PUBLIC LIBRARY,46.014616|-92.942799
MORA PUBLIC LIBRARY,45.877863|-93.297834
NORTH BRANCH AREA LIBRARY,45.497630|-92.980764
PINE CITY PUBLIC LIBRARY,45.8262|-92.9696
RUSH CITY PUBLIC LIBRARY,45.684691|-92.964697
SANDSTONE COMMUNITY LIBRARY,46.131935|-92.866740
WYOMING AREA GIESE MEMORIAL LIBRARY,45.337802|-92.998433
PRINCETON AREA LIBRARY,45.569638|-93.578540
MCGREGOR PUBLIC LIBRARY,46.6068|-93.3077
MILLE LACS COMMUNITY LIBRARY,46.137787|-93.469258
MILACA COMMUNITY LIBRARY,45.755220|-93.649529
AITKIN PUBLIC LIBRARY,46.532522|-93.704981
ANNANDALE BRANCH LIBRARY,45.263769|-94.123355
BECKER PUBLIC LIBRARY,45.401789|-93.870421
BIG LAKE PUBLIC LIBRARY,45.335801|-93.731817
BUFFALO BRANCH LIBRARY,45.172968|-93.877028
CLEARWATER PUBLIC LIBRARY-STICKNEY CROSSING,47.5292|-95.2584
COKATO BRANCH LIBRARY,45.075300|-94.191084
DELANO BRANCH LIBRARY,45.040766|-93.788445
ELK RIVER BRANCH LIBRARY,45.303288|-93.599508
HOWARD LAKE BRANCH LIBRARY,45.059879|-94.067634
KIMBALL BRANCH LIBRARY,45.312378|-94.300547
MONTICELLO BRANCH LIBRARY,45.302043|-93.798587
ROCKFORD PUBLIC LIBRARY,45.089335|-93.732846
ST. MICHAEL PUBLIC LIBRARY,45.212319|-93.653553
ST. CLOUD PUBLIC LIBRARY,45.556733|-94.168319
ALBANY BRANCH LIBRARY,45.629832|-94.568528
MYRTLE MABEE LIBRARY,45.454030|-95.004148
COLD SPRING BRANCH LIBRARY,45.454801|-94.429068
FOLEY BRANCH LIBRARY,45.664935|-93.911669
GREY EAGLE BRANCH LIBRARY,45.824606|-94.748454
LITTLE FALLS PUBLIC LIBRARY,45.976163|-94.359212
LONG PRAIRIE BRANCH LIBRARY,45.974242|-94.860431
MELROSE BRANCH LIBRARY,45.673744|-94.811274
PAYNESVILLE BRANCH LIBRARY,45.381956|-94.713510
PIERZ BRANCH LIBRARY,45.978553|-94.104104
RICHMOND BRANCH LIBRARY,45.453083|-94.520106
ROYALTON BRANCH LIBRARY,45.830152|-94.293207
SAUK CENTRE: BRYANT PUBLIC LIBRARY,45.748873|-94.952063
SWANVILLE BRANCH LIBRARY,45.915419|-94.640545
UPSALA BRANCH LIBRARY,45.809522|-94.571435
WAITE PARK BRANCH LIBRARY,45.558898|-94.222879
EAGLE BEND PUBLIC LIBRARY,46.164899|-95.035825
STAPLES PUBLIC LIBRARY,46.361174|-94.791697
BRAINERD PUBLIC LIBRARY,46.353752|-94.202279
PARK RAPIDS PUBLIC LIBRARY,46.922067|-95.060275
PINE RIVER PUBLIC LIBRARY,46.719126|-94.404686
WADENA PUBLIC LIBRARY,46.439634|-95.139602
WALKER PUBLIC LIBRARY,47.100137|-94.580346
BEMIDJI PUBLIC LIBRARY,47.472782|-94.884381
BLACKDUCK PUBLIC LIBRARY,47.7318|-94.5469
CASS LAKE COMMUNITY LIBRARY,47.380176|-94.605951
MARGARET WELCH MEMORIAL LIBRARY,46.9876|-94.2111
DETROIT LAKES PUBLIC LIBRARY,46.815770|-95.845513
ADA PUBLIC LIBRARY,47.300191|-96.513074
BARNESVILLE PUBLIC LIBRARY,46.653663|-96.419966
BRECKENRIDGE PUBLIC LIBRARY,46.264693|-96.585210
CLIMAX PUBLIC LIBRARY,47.607711|-96.817635
FERTILE PUBLIC LIBRARY,47.533955|-96.280469
FOSSTON PUBLIC LIBRARY,47.577930|-95.746057
HAWLEY PUBLIC LIBRARY,46.882240|-96.314568
MCINTOSH PUBLIC LIBRARY,47.637070|-95.887604
MAHNOMEN PUBLIC LIBRARY,47.314118|-95.968539
MOORHEAD PUBLIC LIBRARY,46.872945|-96.772263
BAGLEY PUBLIC LIBRARY,47.522286|-95.398621
CROOKSTON PUBLIC LIBRARY,47.773434|-96.605292
CIRCLE PINES: CENTENNIAL BRANCH LIBRARY,45.144217|-93.155388
PARK GROVE BRANCH LIBRARY,44.833742|-92.952755
FARMINGTON COMMUNITY LIBRARY,44.637878|-93.145307
HARDWOOD CREEK,45.239113|-92.987812
HASTINGS: PLEASANT HILL LIBRARY,44.737346|-92.882845
VALLEY BRANCH LIBRARY,44.943812|-92.770825
LAKEVILLE: HERITAGE LIBRARY,44.657863|-93.240880
ELKO NEW MARKET BRANCH LIBRARY,44.572420|-93.343620
ROSEMOUNT: ROBERT TRAIL LIBRARY,44.740432|-93.126209
ST. FRANCIS BRANCH LIBRARY,45.387042|-93.355218
SOUTH SAINT PAUL PUBLIC LIBRARY,44.890719|-93.037154
INVER GROVE HEIGHTS: INVER GLEN LIBRARY,44.830923|-93.052486
STILLWATER PUBLIC LIBRARY,45.057811|-92.809699
ST. PAUL PUBLIC LIBRARY - CENTRAL,44.944071|-93.097644
WEST 7TH STREET POPULAR LIBRARY,44.933711|-93.123288
RONDO COMMUNITY OUTREACH LIBRARY,44.955078|-93.126497
HAMLINE MIDWAY BRANCH LIBRARY,44.962821|-93.166843
MERRIAM PARK BRANCH LIBRARY,44.948479|-93.177275
ARLINGTON HILLS BRANCH LIBRARY,44.973931|-93.071098
DAYTON'S BLUFF BRANCH LIBRARY,44.957142|-93.075887
HAYDEN HEIGHTS BRANCH LIBRARY,44.984812|-93.025143
RIVERVIEW BRANCH LIBRARY,44.929758|-93.085063
ST. ANTHONY PARK BRANCH LIBRARY,44.981313|-93.194372
MAPLEWOOD LIBRARY,45.031671|-93.025708
NORTH ST PAUL LIBRARY,45.010233|-92.997264
WHITE BEAR LAKE LIBRARY,45.083236|-93.009773
MOUNDS VIEW LIBRARY,45.113906|-93.223395
NEW BRIGHTON LIBRARY,45.065059|-93.190740
ROSEVILLE LIBRARY,45.006382|-93.156513
